INFORMATION

Date:	16/11/2025
Time:	19:06:37
Mode:	GYRO | AXL | MAGN | TIME
Freq:	50 Hz
Gyr FS: 500 dps;	Axl FS: 4 g;	Mag FS: 4 G;	Hdr FS: 100 g

DATA

Timestamp [ms][dev]	Gyr.X	Gyr.Y	Gyr.Z	Axl.X	Axl.Y	Axl.Z	Mag.X	Mag.Y	Mag.Z
1763320000687	-33.5475	-180.25	429.17	35.624	60.756	823.5	-132.2713	454.6916	139.5791
1763320000708	-40.18	-324.6775	438.2175	295.484	-44.042	959.286	-118.9711	449.1377	134.6098
1763320000728	-47.46	-467.1625	378.7875	707.966	-3.66	987.956	-109.7632	426.045	111.9556
1763320000748	-13.6325	-530.775	274.225	1167.296	102.358	478.484	-117.948	407.6293	83.74744
1763320000768	-22.61	-466.34	153.8425	1495.354	307.806	163.968	-123.7942	404.2677	68.69336
1763320000788	-42.35	-318.465	54.705	1726.422	433.344	111.752	-149.5177	398.1292	55.39316
1763320000808	-22.05	-206.395	-37.765	1765.462	394.914	191.662	-155.6562	405.7293	51.5931
1763320000828	30.1	-156.8	-133.3675	1639.802	361.608	177.632	-166.0333	401.0523	39.75446
1763320000848	97.825	-173.7225	-248.3425	1457.29	400.038	97.478	-179.4797	402.66	41.06986
1763320000868	145.3025	-180.1275	-360.57	1129.598	389.18	-106.872	-209.0032	400.4677	27.47734
1763320000888	188.5975	-176.8025	-433.3875	786.168	429.318	-186.904	-244.373	388.4829	15.78486
1763320000908	234.675	-185.0275	-473.305	447.984	329.156	-227.042	-256.7962	379.1289	15.49255
1763320000928	277.3575	-206.6575	-498.925	25.742	259.128	-130.54	-292.166	352.2362	10.23093
1763320000948	308.3675	-244.6675	-504.77	-260.348	139.812	-222.162	-312.9202	331.3358	9.207833
1763320000968	346.43	-212.345	-494.515	-305.976	7.564	-465.674	-337.9129	281.9351	8.769365
1763320000988	377.405	-120.8025	-478.5025	-269.254	-144.57	-649.406	-347.2669	229.4651	22.21572
1763320001008	346.7975	-93.45	-479.78	-407.602	-139.446	-1102.392	-343.4668	202.8647	27.33119
1763320001028	239.1375	-75.8275	-509.4425	-771.894	-108.824	-1641.144	-334.259	163.9871	46.62379
1763320001048	124.39	61.46	-450.45	-963.556	-58.56	-1865.746	-323.7357	145.5715	52.03157
1763320001068	22.0325	128.625	-374.6925	-1076.894	-69.296	-1619.794	-292.0199	137.679	57.87781
1763320001088	-83.9825	113.8375	-332.465	-981.856	-111.63	-1647.488	-263.2271	134.0251	47.06226
1763320001108	-164.9725	104.79	-289.17	-907.314	-180.926	-1499.38	-248.7577	137.5329	39.90061
1763320001128	-223.685	92.26	-291.585	-608.17	-222.284	-1278.804	-231.9497	150.2485	28.06197
1763320001148	-268.7825	80.815	-312.0425	-477.264	-161.162	-1043.222	-218.5034	166.1795	25.13885
1763320001168	-338.5725	86.87	-309.2425	-457.5	-326.838	-1255.136	-198.3338	193.2184	10.81555
1763320001187	-364.735	92.61	-328.6325	-355.63	-380.64	-821.06	-177.7258	237.5036	10.96171
1763320001208	-371.4025	68.95	-361.1475	-578.89	-361.608	-979.538	-172.9026	252.1192	12.86174
1763320001228	-382.4975	41.825	-377.335	-717.604	-144.57	-768.478	-167.641	300.3508	8.769365
1763320001248	-404.4425	14.84	-354.9875	-722.606	-158.356	-837.896	-168.9564	329.582	16.95411
1763320001268	-418.4075	-18.9	-332.78	-747.494	-96.136	-636.23	-174.5104	367.4364	29.81584
1763320001288	-458.3075	-87.535	-287.07	-880.718	237.412	-913.658	-183.1336	392.5753	40.19292
1763320001308	-514.4825	-84.2625	-210.4025	-948.306	21.35	-960.384	-208.1263	428.822	63.72405
1763320001328	-562.1875	-114.45	-138.285	-913.536	9.272	-354.288	-219.9649	463.0225	100.2631
1763320001348	-559.895	-174.405	-64.645	-1090.436	-144.326	-331.23	-225.5188	474.8611	129.0558
1763320001368	-502.145	-226.6425	32.2175	-1276.12	-47.702	71.736	-240.2806	488.3075	180.9412
1763320001388	-416.9025	-286.2125	148.9775	-1318.698	-104.066	413.336	-232.5343	491.9614	197.4569
1763320001408	-416.9025	-286.2125	148.9775	-1195.234	-104.066	413.336	-214.8494	495.0307	227.565
1763320001428	-294.7175	-422.0825	219.2225	-1195.234	-13.664	422.73	-185.6182	486.1151	244.0807
1763320001448	-202.7025	-506.4675	271.5825	-873.764	-79.3	377.224	-168.2257	482.0228	247.8807
1763320001468	-108.185	-490.735	291.7425	-475.434	-86.986	606.218	-138.2637	471.6457	227.7112
1763320001488	-3.1325	-499.275	219.7475	-265.472	67.466	740.54	-128.4712	463.8994	209.1494
1763320001508	99.1375	-556.43	117.25	-193.736	246.928	903.044	-119.7018	462.8763	173.7796
1763320001528	204.575	-573.37	37.0475	-117.852	330.132	1009.184	-141.3329	457.1762	115.0248
1763320001548	319.7075	-573.37	-40.495	74.176	324.886	689.666	-167.3487	450.1607	82.72434
1763320001568	446.425	-573.37	-117.5125	248.514	499.468	-41.968	-238.5267	419.9064	27.91581
1763320001588	508.655	-573.37	-152.5125	641.232	1086.898	-829.722	-272.1426	396.2292	30.25431
1763320001608	511.9275	-456.4525	-229.0225	918.904	799.588	-898.896	-319.6434	347.5592	11.25402
1763320001628	473.5325	-398.335	-373.0825	601.826	458.476	-879.864	-363.9286	290.9968	25.57731
1763320001648	422.275	-484.2775	-525.2625	-39.65	124.684	-747.616	-384.2444	257.8193	40.04677
1763320001668	390.3025	-499.8875	-570.71	-411.872	-562.908	-585.112	-397.6907	188.5414	73.37035
1763320001688	443.9575	-106.82	-554.3125	-544.364	-471.774	-1183.4	-384.6828	155.2178	82.13972
1763320001708	305.445	120.855	-482.7375	-593.53	-329.522	-1617.232	-349.8977	117.8018	90.32446
1763320001728	86.2225	122.2025	-482.965	-1047.492	-343.064	-1901.126	-329.2897	103.7708	89.00906
1763320001748	-77.77	201.3025	-391.4575	-1105.076	-363.072	-2002.142	-289.8275	100.4092	81.40894
1763320001768	-182.49	246.715	-310.1875	-742.492	-438.712	-1689.334	-250.8038	107.4247	63.28559
1763320001788	-217.1225	189.9625	-306.6525	-489.098	-339.038	-1369.694	-239.8421	118.6787	56.85472
1763320001808	-244.9475	92.19	-331.5725	-328.912	-271.206	-1323.334	-212.2186	136.2175	44.43145
1763320001828	-290.5875	62.7025	-373.7825	-121.878	-345.748	-1131.428	-196.7261	155.3639	35.36977
1763320001848	-350.7875	59.64	-445.27	-114.924	-516.304	-924.15	-183.7182	188.249	23.09266
1763320001868	-396.725	38.22	-511.525	-332.206	-625.86	-987.346	-163.5487	239.4037	10.37708
1763320001888	-442.9425	1.05	-543.76	-623.786	-551.196	-1107.76	-156.5332	268.4887	11.9848
1763320001908	-503.9125	-9.7475	-515.3225	-753.472	-616.344	-1197.918	-165.5948	335.7205	17.39257
1763320001928	-547.995	-18.4625	-463.89	-810.08	-632.326	-1045.052	-167.4949	364.0748	25.86963
1763320001948	-558.5125	-39.2875	-404.705	-869.982	-477.02	-889.258	-189.126	416.691	56.70856
1763320001968	-569.8175	-75.3375	-326.4275	-970.144	-313.784	-749.202	-212.6571	459.5147	99.5323
1763320001988	-573.37	-120.6275	-227.85	-1162.538	-91.378	-804.224	-227.2727	476.615	120.8711
1763320002008	-533.54	-108.0975	-101.045	-1244.766	-194.102	-586.088	-237.6498	489.769	163.841
1763320002028	-447.6325	-142.765	30.8	-1366.522	-61.854	-35.99	-236.1882	492.3999	185.3259
1763320002048	-357.3675	-256.34	147.595	-1269.41	-12.078	157.624	-226.1035	498.3923	214.9956
1763320002068	-261.555	-409.4825	218.4	-987.102	138.47	-63.806	-202.1339	492.8383	236.0421
1763320002088	-217.8225	-437.64	264.8975	-666.242	158.112	-219.722	-186.7875	490.0614	241.7422
1763320002108	-265.125	-397.18	286.8075	-507.276	165.066	13.298	-150.3946	475.4457	248.0269
1763320002128	-254.975	-349.93	280.49	-390.766	93.94	474.092	-133.4405	469.5995	246.5653
1763320002148	-142.52	-413.5775	232.6625	-285.236	174.216	960.994	-107.717	453.23	240.7191
1763320002168	-9.485	-539.735	170.6075	-87.84	351.604	952.576	-91.63987	440.2221	208.8571
1763320002188	86.38	-573.37	147.245	33.672	354.288	739.93	-89.44753	437.1529	177.4335
1763320002208	155.0325	-573.37	155.19	489.342	245.098	363.316	-101.5785	419.0295	116.7787
1763320002228	252.5425	-573.37	94.3425	1386.53	537.166	304.268	-111.5171	408.7986	91.34756
1763320002248	329.875	-573.37	-77.4025	1386.53	1286.124	452.254	-154.0485	391.5522	40.92371
1763320002268	306.88	-573.37	-263.095	1287.222	1147.654	-312.198	-181.5259	385.1213	20.75416
1763320002288	323.3825	-502.18	-382.8125	952.21	650.992	-421.754	-236.6267	360.5671	0.5846244
1763320002308	411.6175	-515.3575	-477.4525	345.382	180.438	-139.324	-291.7275	319.4972	-1.753873
1763320002328	513.205	-549.2025	-548.905	-183.244	-343.796	-171.41	-323.2973	286.0275	-4.238526
1763320002348	564.655	-336.91	-535.1675	-225.822	-567.056	-692.472	-351.6516	212.6571	22.50804
1763320002368	486.955	-125.265	-510.125	-303.414	-108.58	-1523.658	-349.1669	181.8182	37.85443
1763320002388	289.765	-28	-521.115	-677.344	-157.136	-1444.846	-326.5127	138.1175	55.97778
1763320002408	107.6775	71.995	-476.4375	-898.042	-167.628	-1803.77	-285.8813	118.3864	59.33937
1763320002428	-50.925	142.9925	-397.0225	-972.828	-199.348	-1879.532	-270.5349	115.4633	55.10085
1763320002448	-155.05	140.6125	-331.8525	-933.666	-202.642	-1913.082	-238.9652	124.8173	53.20082
1763320002468	-249.8125	91.805	-293.51	-677.832	-229.848	-1639.558	-228.0035	134.1713	46.18532
1763320002488	-342.405	63.7875	-299.1975	-308.416	-340.624	-1241.96	-206.3724	160.1871	38.2929
1763320002508	-420.0175	51.065	-357.9275	-89.548	-434.442	-981.734	-185.6182	198.3338	13.88483
1763320002528	-487.2875	45.3425	-431.655	-227.408	-491.172	-906.094	-182.8413	225.2265	10.08477
1763320002548	-524.825	47.2675	-468.7725	-513.62	-530.822	-949.77	-170.1257	283.8351	7.746273
1763320002568	-514.885	63.4025	-461.72	-706.38	-548.512	-963.922	-168.8103	318.4741	12.56942
1763320002588	-502.11	62.4225	-443.1	-853.024	-430.538	-846.192	-183.5721	369.7749	27.91581
1763320002608	-514.4475	24.395	-406.9625	-968.558	-337.696	-859.978	-193.0722	426.9219	60.80093
1763320002628	-532.805	-6.2125	-353.255	-962.58	-80.398	-628.178	-206.0801	447.9684	67.52411
1763320002648	-561.1725	-38.7625	-249.4975	-1232.81	-127.002	-889.136	-224.0573	477.7842	118.2403
1763320002668	-545.2125	-42.525	-123.4275	-1411.784	-141.154	-572.302	-227.7112	484.5074	150.3946
1763320002688	-484.96	-76.0375	5.53	-1353.59	-110.532	-10.248	-237.0652	497.0768	190.0029
1763320002708	-384.6675	-209.1775	109.76	-1278.56	128.954	73.2	-238.2344	497.8076	210.1725
1763320002728	-250.7225	-319.1125	206.15	-1091.412	43.798	-4.026	-220.1111	499.8538	231.8036
1763320002748	-185.7275	-383.3375	270.83	-726.876	230.458	159.332	-188.9798	490.646	245.6884
1763320002768	-209.825	-427.35	284.9175	-666.364	272.182	85.156	-171.7334	483.6305	245.8345
1763320002788	-227.99	-425.6525	286.93	-526.43	220.21	82.106	-141.3329	476.1765	250.0731
1763320002808	-177.765	-420.84	291.935	-381.86	190.32	499.59	-128.325	463.3148	253.1423
1763320002828	-123.375	-525.7	235.8125	-163.724	186.05	770.674	-95.29377	446.0684	240.8652
1763320002848	23.835	-570.255	173.32	257.786	395.768	806.664	-82.28588	428.6758	197.8953
1763320002868	152.11	-573.37	120.435	549.854	460.184	799.832	-77.60888	427.0681	170.1257
1763320002888	260.82	-573.37	20.195	877.302	440.664	457.134	-95.43993	409.0909	98.07073
1763320002908	354.375	-573.37	-135.5025	1193.648	1086.898	-323.91	-124.2327	404.7062	55.97778
1763320002928	327.8275	-539.945	-265.335	1316.014	1130.086	-901.824	-193.5107	384.3905	13.00789
